Title,Release Date,Team,Rating,Summary,Genre 1,Genre 2,Times Listed Clean,Number of Reviews Clean,Plays Clean,Backlogs Clean,Wishlist Clean
Transistor,2014-05-20,Supergiant Games,3.8,"An unconventional tactical action RPG in which after a powerful group called the Camerata cause measureless destruction through the ambiguous settlement of Cloudbank, Red, a famous singer in the city, goes on a journey along with her lover who is trapped inside the Transistor, a powerful machine with mysterious properties, to get to the bottom of the situation and get her lost voice back.",Adventure, Indie,784,784,5600,2900,692
The Evil Within,2014-10-14,"Tango Gameworks, Bethesda Softworks",3.4,"The Evil Within is an action survival horror game that draws inspiration from the Resident Evil series with a grimy look with exaggerated gore. The game was directed by Shinji Mikami, the creator of Resident Evil & a former Resident Evil 4 director. You must navigate through the hostile game world with limited resources, this requires to use your wits to survive and correctly manage your resources as you encounters various terrors and dangers throughout the game. The environments may also change without warning in real-time based on your actions, adding more variables to the game.",Adventure, Shooter,629,629,4800,1800,822
Metal: Hellsinger,2022-09-15,"Level Infinite, The Outsiders",3.7,"Strike terror into the hearts of demons and devils as you fight your way through eight Hells. Metal: Hellsinger is a rhythm FPS, brimming with diabolical enemies, powerful weapons, and metal music. Set out on an infernal journey in order to achieve the purest of goals: Vengeance.",Adventure, Music,322,322,1200,419,424
Halo: The Master Chief Collection,2014-11-11,"343 Industries, Xbox Game Studios",4.2,"The improved and enhanced Halo: The Master Chief Collection features visual enhancements with up to 4K UHD resolution, improved matchmaking, offline LAN, customizable installation options, and faster load times, it’s the definitive way to experience the ultimate Halo saga. Includes the extensive suite of campaign, multiplayer and additional features from Halo: Combat Evolved Anniversary, Halo 2: Anniversary, Halo 3, and Halo 4 - all updated to run at 60FPS.",Shooter,,356,356,5100,1300,463
Pokémon Crystal,2000-12-14,"Game Freak, Nintendo",3.9,"Pokémon Crystal is a special edition of Pokémon Gold and Silver. It added the option to play as a female character, expanded upon the storyline and made slight aesthetic changes to the still-intact core experience of becoming a Pokémon Master.",Adventure, RPG,716,716,7200,721,236
Uncharted: The Lost Legacy,2017-08-22,"Naughty Dog, Sony Interactive Entertainment",3.8,"From the critically acclaimed developer, Naughty Dog, comes the first standalone adventure in the Uncharted series. Fan-favorite character, Chloe Frazer, must enlist the aid of renowned mercenary Nadine Ross from Uncharted 4: A Thief’s End in order to recover a fabled ancient Indian artifact and keep it out of the hands of a ruthless war profiteer. Together, they’ll venture deep into the mountains of India in search of the legendary artifact. Along the way, they’ll learn to work together to unearth the mystery of the artifact, fight their way through fierce opposition, and prevent the region from falling into chaos.",Adventure, Shooter,758,758,4700,1300,754
Resident Evil 3: Nemesis,1999-09-22,"Capcom, Capcom Planning Room 2",3.8,"Resident Evil 3: Nemesis is a survival horror video game and the third installment in the Resident Evil series. Like its two predecessors, it is a third-person action-adventure game with polygonal characters on pre-rendered backgrounds with cinematic camera angles. Although the game uses the same basic engine and gameplay as the previous games, the gameplay is improved by features such as auto-targeting, a 180 degree spin, and a new dodge move that allows Jill to avoid enemy attacks. The PC and Dreamcast versions includes all eight of Jill's possible costumes, as well as the mercenary mini-game Operation Mad Jackal which allows you to play as one of the three Umbrella soldiers. On the Playstation version, these special features must be unlocked by beating the game with a high score.",Adventure, Shooter,849,849,4300,953,496
Sea of Thieves,2018-03-20,"Rare, Xbox Game Studios",3.3,"Sea of Thieves offers the essential pirate experience, from sailing and fighting to exploring and looting – everything you need to live the pirate life and become a legend in your own right. With no set roles, you have complete freedom to approach the world, and other players, however you choose.",Adventure, Simulator,354,354,5300,536,407
F.E.A.R.,2005-10-17,"Monolith Productions, Vivendi Universal",3.8,"F.E.A.R. is a horror FPS that resembles a cross between Doom 3, Half-Life, and the Ring horror movies. Demons are replaced by cloned soldiers and the element of horror revolves around an image of a spectral girl always appearing when least expected for a few fleeting moments. The player sets out as a member of a specialized strike force dealing with unknown threats. Initially, the player starts with mundane weapons, which are well presented, and progress gradually towards more sci-fi ones as the danger increases. The player can also call upon a bullet-time ability which slows down time around the player and is realised with impressive visual and aural effects by the game engine.",Shooter,,564,564,3600,1000,505
Mafia: Definitive Edition,2020-09-24,"2K Games, Hangar 13",3.7,"Re-made from the ground up, rise through the ranks of the Mafia during the Prohibition era of organized crime. After a run-in with the mob, cab driver Tommy Angelo is thrust into a deadly underworld. Initially uneasy about falling in with the Salieri crime family, Tommy soon finds that the rewards are too big to ignore.",Adventure, Shooter,420,420,2700,917,540
NieR,2010-04-22,"Square Enix, Cavia",4.2,"Nothing is as it seems in Square Enix's latest action adventure game, set in a crumbling world plagued by disease and dark, unrecognizable creatures. Players assume the role of the unyielding protagonist, NIER, resolute in his quest to discover a cure for his daughter, who is infected with the Black Scrawl virus. With powerful allies and a mysterious book, NIER encounters things that will confound even the mightiest of warriors. With NIER, experience seamless in-battle cinematics and explore hauntingly familiar lands, intense action-packed battles, and storytelling like only Square Enix can do",Adventure, RPG,743,743,2900,999,854
The Walking Dead: Season Two,2013-12-17,"Telltale Games, Skybound Games",3.5,"Similar to the previous season, The Walking Dead: Season Two is a point-and-click adventure game. The player, in control of Clementine, can direct the character around the environment, examine and interact with various scenery elements and collect and use objects to advance the story. The player can also initiate conversations with non-player characters via conversation trees. Certain replies from other characters may offer the player multiple choices to select from, including the option to stay silent, with a limited amount of time to make the selection; if the player does not select an option, the conversation will continue as if they had stayed quiet. Such choices can affect how the other characters will later react to Clementine which can influence later events in the story. Other scenes are more action-oriented, requiring the player to complete quick time events to avoid Clementine or her allies from getting killed. If the player fails these events, the game will restart at the start of such scenes. Such action scenes may also require the player to make a key decision within a limited time frame, such as which of two characters to save from attacking walkers.",Adventure, Point-and-Click,559,559,6700,718,262
Forspoken,2023-01-24,"Square Enix, Luminous Productions",2.3,"Forspoken follows the journey of Frey, a young New Yorker transported to the beautiful and cruel land of Athia. In search of a way home, Frey must use her newfound magical abilities to traverse sprawling landscapes and battle monstrous creatures.",Adventure, RPG,211,211,252,247,847
Max Payne 2: The Fall of Max Payne,2003-10-14,"Remedy Entertainment, Rockstar Games",4.1,"Max Payne 2 is a third-person shooter, in which the player assumes the role of Max Payne, but also plays as Mona Sax in a few levels. Initially, the player's weapon is a 9mm pistol. As they progress, players access other weapons including other handguns, shotguns, submachine guns, assault rifles, sniper rifles, and hand-thrown weapons. To move the game along, the player is told what the next objective is through Max's internal monologue, in which Max iterates what his next steps should be.",Shooter,,553,553,4100,1100,464
Shin Megami Tensei: Devil Summoner - Soul Hackers,1997-11-13,"Atlus, NIS America",3.8,"Soul Hackers delivers a first-person, dungeon-crawling RPG experience set in a future where technology and otherworldly forces meet in a macabre fusion of cyberpunk futurism and gothic horror. A first-person sci-fi RPG epic, Soul Hackers tells of a city held up as a beacon of humanity's triumph of technology, but with an infernal secret. In this would-be utopia, a group of hackers takes on a centuries-old mystic society, and a battle for control over humanity's fate is about to begin.",Adventure, RPG,470,470,1200,1600,651
Dusk,2018-12-10,"David Szymanski, New Blood Interactive",4.0,"Battle through an onslaught of mystical backwater cultists, possessed militants and even darker forces as you attempt to discover just what lurks beneath the earth in this retro FPS inspired by all your 90's favorites. Featuring a full single player campaign, endless survival mode and classic arena multiplayer.",Adventure, Indie,487,487,2500,963,625
The Elder Scrolls III: Morrowind,2002-05-01,"Bethesda Game Studios, ZeniMax Media",4.0,"First-person WRPG and third mainline entry in the Elder Scrolls franchise in which the player arrives in the island of Vvardenfell, an exotic land plagued by disease-carrying storms and ruled by a godly Tribunal, in the Morrowind province of Tamriel, and takes part in the prophecy foretelling the second coming of Nerevar, who will supposedly save Morrowind from malicious clans both within and outside Vvardenfell.",Adventure, RPG,549,549,3700,1700,487
Rollerdrome,2022-08-16,"Roll7, Private Division",3.7,"Rollerdrome is a third person action shooter that seamlessly blends high octane, visceral combat with fluid movement and tricking mechanics into one complementary and challenging whole, to create an original adrenaline-pumping shooter experience like no other.",Adventure, Indie,260,260,431,351,492
Final Fantasy XVI,2023-06-22,"Square Enix, Square Enix Creative Business Unit III",,Final Fantasy XVI is an upcoming action role-playing game developed and published by Square Enix. It is the sixteenth game in the mainline Final Fantasy series and will be released for the PlayStation 5. It is being produced by Naoki Yoshida and directed by Hiroshi Takai.,RPG,,422,422,37,732,2400
Pokémon Sun,2016-11-18,"The Pokémon Company, Game Freak",3.3,"Pokémon Sun and Pokémon Moon trademarks were registered thus leaking the next Pokémon game titles to the public. Pokémon.com confirmed the games would be for the Nintendo 3DS and released in holiday 2016, with a new world, new Pokémon, and new adventures.
             

              Pokémon Sun and Pokémon Moon will be the first games in the Pokémon series to allow players to choose from nine languages to play in. In addition to English, French, German, Italian, Japanese, Korean, and Spanish, players will now be able to play in both Traditional and Simplified Chinese.",Adventure, RPG,600,600,7600,596,230
Yu-Gi-Oh! Master Duel,2022-01-18,Konami,3.2,"Yu-Gi-Oh! Master Duel lets players old and new enjoy the hugely popular Yu-Gi-Oh! TCG in digital form. Players across the globe can compete in intense collectible card Duels, both thrilling to play and watch. Alongside those iconic cards will be a huge range of other monsters, spells, traps, and more, drawn from Yu-Gi-Oh's two-decade-long legacy.",Card & Board Game, Simulator,170,170,2100,147,33
Injustice: Gods Among Us,2013-04-16,"NetherRealm Studios, WB Games",3.0,"What if our greatest heroes became our greatest threat? Injustice: Gods Among Us introduces a bold new franchise to the fighting game genre from NetherRealm Studios, creators of the definitive fighting game Mortal Kombat. Featuring DC Comics icons such Batman, Cyborg, The Flash, Harley Quinn, Nightwing, Solomon Grundy, Superman and Wonder Woman, the latest title from the award-winning studio presents a deep original story. Heroes and villains will engage in epic battles on a massive scale in a world where the line between good and evil has been blurred.",Adventure, Fighting,364,364,7100,502,112
Pac-Man,1980-05-22,"Wiz, Namco Networks America, Inc.",3.4,"Pac-Man is an arcade game developed by Namco and first released in Japan on May 22, 1980. it is considered one of the classics of the medium, virtually synonymous with video games, and an icon of 1980s popular culture. The player controls Pac-Man through a maze, eating pac-dots (also called pellets or just dots). When all pac-dots are eaten, Pac-Man is taken to the next stage. Four enemies (Blinky, Pinky, Inky and Clyde) roam the maze, trying to catch Pac-Man. If an enemy touches Pac-Man, a life is lost and the Pac-Man itself withers and dies. When all lives have been lost, the game ends. Near the corners of the maze are four larger, flashing dots known as power pellets that provide Pac-Man with the temporary ability to eat the enemies. The enemies turn deep blue, reverse direction and usually move more slowly. When an enemy is eaten, its eyes remain and return to the center box where it is regenerated in its normal color. Blue enemies flash white to signal that they are about to become dangerous again and the length of time for which the enemies remain vulnerable varies from one stage to the next, generally becoming shorter as the game progresses.",Arcade,,427,427,5200,108,31
Final Fantasy X/X-2 HD Remaster,2013-12-26,"Virtuos, Square Enix",4.1,"Based on the international versions of the games that were previously only released in Japan and Europe, FINAL FANTASY X/X-2 HD Remaster brings these timeless classics forward to the current generation of fans, old and new alike.",RPG, Strategy,368,368,3200,2300,677
Mortal Kombat X,2015-04-13,"NetherRealm Studios, WB Games",3.3,"Mortal Kombat X is the tenth main game in the one-on-one fighting series and a sequel to the 2011 title Mortal Kombat. The game stays close to the visual style and the mechanics of the 2011 reboot. The main controls are still based on two types of punches and kicks, and blocking, to form combos with uppercuts, teleports, special moves that incorporate weapons and fatalities. The three-tiered energy from the previous title returns, making available X-Ray moves, powered up EX moves and combo breakers. As introduced in Injustice: Gods Among Us, characters can use the environment to re-position themselves or optionally use parts as weapons. Each character now has three variations with different moves and weapons. There is once again a sprinting gauge, returning from Mortal Kombat 4.",Fighting,,430,430,7100,602,138
Shin Megami Tensei: Digital Devil Saga,2004-07-15,"Atlus, Ghostlight Ltd.",4.1,"Shin Megami Tensei: Digital Devil Saga follows Serf and his four companions as they set out for Nirvana, a land that can only be reached by the champions of Junkyard. A mysterious object awakens demonic powers within the group, allowing each member to transform into a deadly beast. As one of these characters, you can devour your enemies and absorb their powers and special abilities. Defeat opposing tribes by protecting yourself from enemy attacks, deflecting their blows, and performing linked attacks.",RPG,,657,657,2000,1900,916
Star Wars: The Force Unleashed,2008-09-16,"THQ Wireless, Aspyr Media",3.2,"Star Wars: The Force Unleashed is a Star Wars video game that takes place between the films Star Wars: Episode III Revenge of the Sith and Star Wars: Episode IV A New Hope. It is the centerpiece of the Star Wars: The Force Unleashed multimedia project,
             

              Star Wars: The Force Unleashed completely re-imagines the scope and scale of the Force and casts players as Darth Vader’s ""Secret Apprentice,"" unveiling new revelations about the Star Wars galaxy seen through the eyes of a mysterious new character armed with unprecedented powers.
             

              The game showcases Digital Molecular Matter (DMM), an extremely detailed and realistic material physics engine developed by Pixelux, and Euphoria, a realistic bio-mechanical A.I. engine by NaturalMotion",Adventure, Brawler,417,417,7400,823,350
Shovel Knight: Treasure Trove,2019-12-09,"Yacht Club Games, Nintendo",4.3,"Shovel Knight: Treasure Trove is the full and complete edition of Shovel Knight, a sweeping classic action-adventure game series with awesome gameplay, memorable characters, and an 8-bit retro aesthetic! Run, jump, and battle as Shovel Knight, wielder of the Shovel Blade, in a quest for his lost beloved. Take down the nefarious knights of the Order of No Quarter and confront their menacing leader, The Enchantress.
             

              But that’s not everything! Shovel Knight: Treasure Trove also features four additional games all unto themselves! Take control of Plague Knight, Specter Knight, and King Knight on adventures of their own or battle each other in a local four player Showdown. Together, they form a grand and sweeping saga!
             

              With Shovel Knight: Treasure Trove, you get it all. Play with a friend in Shovel of Hope's cooperative campaign, test your mettle in full-featured challenge modes, battle together in Showdown, and change the game with Body Swap mode. Uphold the virtues of Shovelry, earn relics and riches, and discover the true meaning of shovel justice!",Adventure, Indie,445,445,3800,1300,574
Ghost of Tsushima: Director's Cut,2021-08-20,"Sony Interactive Entertainment, Sucker Punch Productions",4.2,"Ghost of Tsushima: Director's Cut Includes:
              
              - Full game.
              
              - Iki Island expansion: New story, mini-games, enemy types and more.
              
              - Legends online co-op mode.
              
              - Digital mini art book by Dark Horse.
              
              - Director’s commentary: The creative team sits down with a renowned Japanese historian to look at the world of Ghost of Tsushima and how it compares to the real-life events that inspired it.
              
              - One Technique Point.
              
              - Charm of Hachiman’s Favour.
              
              - Hero of Tsushima Skin Set: Golden Mask, Sword Kit, Horse, Saddle.",Adventure, RPG,345,345,1800,993,621
Donkey Kong Country Returns,2010-11-21,"Retro Studios, Nintendo",3.9,"Under the influence of a group of evil Tikis, the animals of Donkey Kong Island have raided Donkey Kong's banana hoard and stolen his stash of bananas - and being an ape of large appetites he understandably wants them back. Good thing that you are along for the ride. With Donkey Kong Country Returns, Retro Studios brings Donkey Kong back to a banana and platforming hungry public in a new side-scrolling adventure with familiar characters and new levels that reignite the passion players had for the Super NES original and all things Donkey Kong.",Adventure, Platform,521,521,5300,1100,443
Street Fighter III: 3rd Strike,1999-05-12,"Capcom, Virgin Interactive Entertainment",4.2,"Street Fighter III 3rd Strike: Fight for the Future is a 2D competitive fighting game produced by Capcom originally released for the arcade in 1999. It is the second follow-up to Street Fighter III, following Street Fighter III 2nd Impact. Like its predecessors, it runs on the CP System III hardware. 3rd Strike increased the character roster by adding five new characters, including Chun-Li. It also added further refinements to the previous game's play mechanics and rules. It was ported to the Dreamcast, PlayStation 2, and Xbox. A downloadable online version titled Street Fighter III: 3rd Strike Online Edition was released on PlayStation Network and Xbox Live Arcade in August 2011.",Arcade, Fighting,763,763,3700,281,202
Return to Monkey Island,2022-09-19,"Terrible Toybox, Lucasfilm Games",4.0,"Return to Monkey Island, the long-awaited follow-up to the legendary Secret of Monkey Island and Monkey Island 2: LeChuck's Revenge by Ron Gilbert's Terrible Toybox in collaboration with Devolver Digital and Lucasfilm Games, coming 2022.",Adventure, Point-and-Click,237,237,538,388,409
Deus Ex: Human Revolution,2011-08-23,"Square Enix, Eidos Montréal",3.8,"In Deus Ex: Human Revolution you play Adam Jensen, a security specialist, handpicked to oversee the defense of one of America's most experimental biotechnology firms. But when a black ops team breaks in and kills the scientists you were hired to protect, everything you thought you knew about your job changes. At a time when scientific advancements are routinely turning athletes, soldiers and spies into super-enhanced beings, someone is working very hard to ensure mankind's evolution follows a particular path. You need to discover why - because the decisions you take and the choices you make will be the only things that can determine mankind's future.",RPG, Shooter,559,559,5800,1700,488
Spyro Reignited Trilogy,2018-11-13,"Toys for Bob, Activision",3.9,"Spyro Reignited Trilogy is a collection of remasters of the first three games in the Spyro series: Spyro the Dragon (1998), Ripto's Rage! (1999), and Year of the Dragon (2000).",Adventure, Platform,552,552,4500,2100,808
Chicory: A Colorful Tale,2021-06-10,"Greg Lobanov, Finji",4.1,"Chicory: A Colorful Tale is an adventure game about a dog wielding a magic paintbrush! Use the power of art to explore, solve puzzles, help your animal friends and restore color to the world.",Adventure, Indie,521,521,984,905,983
Sin and Punishment,2000-11-21,"Treasure, Nintendo",4.0,"Earth is under threat from Ruffians - mutants bred to boost dwindling food stocks who have turned against their masters. As a young resistance fighter, face an onslaught of bio-genetic monsters and corrupt military forces in your battle to save the planet.
             

              For the first time outside of Japan, you can experience the non-stop action of this Nintendo 64 classic, created by the shoot em up masters at Treasure Co. Ltd.
             

              Battle across land, sea and sky; collect energy, time and point bonuses; rack up massive combos to earn extra continues; and face the wrath of enormous bosses. Plus - invite a friend to join in, controlling the gun sight while you move the character.",Shooter,,459,459,1100,878,550
Outer Wilds: Echoes of the Eye,2021-09-28,"Mobius Digital, Annapurna Interactive",4.5,"The Hearthian space program has detected an anomaly that canʼt be attributed to any known location in the solar system. Grab your flashlight and prepare to illuminate the darkest secrets of the Outer Wilds in it's first and only DLC, Outer Wilds: Echoes of the Eye.",Adventure, Indie,238,238,1600,763,559
New Super Mario Bros. 2,2012-07-28,"Nintendo, Nintendo EAD",2.9,"New Super Mario Bros. 2 is a side-scrolling 2.5D action-adventure platform game for the Nintendo 3DS. As the direct sequel to New Super Mario Bros., it is an indirect follow-up to New Super Mario Bros. Wii. The game's main focus is on coins, with the primary goal being to collect one million. To reach the goal, the game includes many new items to aid the player, such as the Gold Flower, which turns Mario into Gold Mario.",Adventure, Platform,581,581,6100,588,234
Wolfenstein II: The New Colossus,2017-10-26,"MachineGames, Bethesda Softworks",3.5,"Wolfenstein II: The New Colossus is the eleventh installment of the Wolfenstein series and a sequel to the 2014's Wolfenstein: The New Order. The game follows the main protagonist, William Joseph ""B.J."" Blazkowicz, in his efforts to ignite a Second American Revolution.
             

              The game is played from a first-person perspective and most of its levels are navigated on foot. The story is arranged in chapters, which players complete in order to progress. A binary choice in the prologue alters the game's entire storyline; some characters and small plot points are replaced throughout the timelines. The game features a variety of weapons, most of which can be dual wielded. A cover system is also present.",Adventure, Shooter,540,540,4700,1500,675
PokÃ©mon Diamond,2006-09-28,"Nintendo, Game Freak",3.6,"PokÃ©mon Diamond Version and Pearl Version are role-playing games (RPGs) developed by Game Freak and published by Nintendo for the Nintendo DS. With the enhanced remake PokÃ©mon Platinum, the games comprise the fifth installment and fourth generation of the PokÃ©mon series of RPGs. First released in Japan on September 28, 2006, the games were later released to North America, Australia, and Europe over the course of 2007.
             

              Like previous PokÃ©mon games, Diamond and Pearl chronicle the adventures of a young PokÃ©mon trainer as he/she trains and battles PokÃ©mon while also thwarting the schemes of a criminal organization. The games add many new features, such as Internet play over the Nintendo Wi-Fi Connection and changes to battle mechanics and PokÃ©mon Contests, along with addition of 107 new PokÃ©mon. The games are independent of each other but feature largely the same plot and while both can be played separately, it is necessary to trade between them in order to complete the games' PokÃ©dexes.",Adventure, RPG,581,581,9300,429,170
Into the Breach,2018-02-27,Subset Games,3.9,The remnants of human civilization are threatened by gigantic creatures breeding beneath the earth. You must control powerful mechs from the future to hold off this alien threat. Each attempt to save the world presents a new randomly generated challenge in this turn-based strategy game from the makers of FTL.,Card & Board Game, Indie,535,535,3400,1700,567
Marvel Snap,2022-10-18,"Second Dinner, nuverse",3.7,"Marvel Snap: The fastest card battler in the multiverse!
             

              Build your Marvel dream team in this fast-paced, action-packed, collectible card game available on Mobile and PC.",Card & Board Game, Strategy,241,241,847,54,22
Nier: Automata - Game of the Yorha Edition,2019-02-21,"Square Enix, PlatinumGames",4.4,"NieR:Automata tells the story of androids 2B, 9S and A2 and their battle to reclaim the machine-driven dystopia overrun by powerful machines.
             

              The NieR:Automata Game of the YoRHa Edition includes the game itself and comes packed with DLC and bonus content for the full experience of the award-winning post-apocalyptic action RPG, including:
              
              - 3C3C1D119440927 DLC*
              
              - Cardboard Pod Skin
              
              - Retro Grey Pod Skin
              
              - Retro Red Pod Skin
              
              - Grimoire Weiss Pod
              
              - Machine Mask Accessory
              
              - (PC Version) Valve Character Accessory, Exclusive set of wallpapers in the following sizes: 1024 x 768, 1280 x 1024, 1920 x 1080, 2560 x 1600
              
              - (PS4 Version) Play System Pod Skin, the amazarashi Head Pod Skin, a Dynamic Theme and 15 PSN avatars.",Adventure, RPG,315,315,2800,1100,532
Five Nights at Freddy's 2,2014-11-10,"Clickteam, Scottgames",3.0,"Welcome back to the new and improved Freddy Fazbear's Pizza!
             

              In Five Nights at Freddy's 2, the old and aging animatronics are joined by a new cast of characters. They are kid-friendly, updated with the latest in facial recognition technology, tied into local criminal databases, and promise to put on a safe and entertaining show for kids and grown-ups alike!
             

              What could go wrong?
             

              As the new security guard working nights, your job is to monitor cameras and make sure nothing goes wrong after-hours. The previous guard has complained about the characters trying to get into the office (he has since been moved to day-shift). So to make your job easier, you've been provided with your very own empty Freddy Fazbear head, which should fool the animatronic characters into leaving you alone if they should accidentally enter your office.
             

              As always, Fazbear Entertainment is not responsible for death or dismemberment.",Adventure, Indie,270,270,5400,271,119
Mortal Kombat 11,2019-04-22,"Warner Bros. Interactive Entertainment, NetherRealm Studios",3.4,"Mortal Kombat is back and better than ever in the next evolution of the iconic franchise. The all new Custom Character Variations give you unprecedented control of your fighters to make them your own. The new graphics engine showcases every skull-shattering, eye-popping moment, bringing you so close to the fight you can feel it. Featuring a roster of new and returning Klassic Fighters, Mortal Kombat's best-in-class cinematic story mode continues the epic saga over 25 years in the making.",Fighting,,490,490,5000,612,308
Witch on the Holy Night,2022-12-07,"TYPE-MOON, Aniplex",4.5,"Set in 1980s Japan, Witch on the Holy Night tells the story of fan-favorite Type-Moon character Aoko Aozaki as she attempts to navigate the complex world of magecraft while also dealing with the everyday struggles of life as a high school student! Players will experience the thrilling origin story of this much-beloved character, penned by Kinoko Nasu, famed creator of the Fate series, himself.",Adventure, Visual Novel,98,98,244,230,279
Dying Light 2: Stay Human,2022-02-03,"Techland, Techland Publishing",3.1,"The last great human settlement exists within an unforgiving, infected world. Exceptional agility and combat skills make you a powerful ally and a valuable commodity. With your unique abilities you have the power to be an agent of change within this decaying metropolis. Use it wisely.",Adventure, RPG,290,290,1400,765,876
Asura's Wrath,2012-02-21,"Capcom, CyberConnect2",3.7,"The game follows the title character, the demigod Asura as he seeks revenge on the pantheon of other demigods who betrayed him. The story is presented in the style and format of an episodic series of cinematic shorts, including opening and closing credits, with the gameplay being integrated into the cinematic where players switch between third-person combat and interactive sequences with player input in the form of quick-time event button prompts. Because of its unique style, the game has been described in the media as an ""interactive anime"". According to the game's producer Kazuhiro Tsuchiya, Asura's Wrath takes elements from Hinduism and Buddhism and blends them with science fiction, with the main character based on the ever combative and superiority-seeking beings of the same name that are part of the Hindu and Buddhist cosmology.",Brawler,,432,432,2100,980,827
Tales of Berseria,2016-08-18,"Bandai Namco Entertainment America, Bandai Namco Studios",3.7,"In Tales Of Berseria players embark on a journey as they assume the role of Velvet, a young woman whose once gentle nature has been replaced and overcome with a festering anger and hatred after a traumatic experience three years prior to the events within Tales Of Berseria imbued her left hand with a special ability. Along her journey, Velvet will meet a whole cast of characters, including a young boy named Laphicet. If Velvet is the embodiment of ""darkness,"" then Laphicet is created in the image of ""light"" and will be an important ally to Velvet.",RPG,,555,555,3300,2400,657
Ender Lilies: Quietus of the Knights,2021-06-21,"Binary Haze Interactive, Live Wire",3.8,"Ender Lilies is a dark fantasy 2D Action RPG about unraveling the mysteries of a nation destroyed by a cataclysmic event. The fallen Kingdom of End is a tragic and beautiful world featuring a majestic castle, submerged forests and forbidden underground areas.
             

              On this sorrowful journey, encounter horrific enemies against whom a moment of inattention could be fatal. By releasing foes from their undying curse, you may gain their strength. Overcome the hardships of your journey and uncover the truth with the aid of the fallen knights.",Adventure, Indie,275,275,1200,967,1000
Moon: Remix RPG Adventure,1997-10-16,"ASCII Entertainment, Love-de-Lic",4.4,"In this ""anti-RPG"" adventure game notable for parodying and subverting common JRPG conventions, you level up by loving, not fighting. Revive dead animals and bond with everyone around you to obtain the most important thing in the universe — love.",Adventure, Puzzle,572,572,663,1300,1000
Prince of Persia: The Sands of Time,2003-11-06,"Ubisoft Entertainment, Ubisoft Montreal",3.6,"Prince of Persia: The Sands of Time is a third-person puzzle-platformer and action-adventure computer and video game published by Ubisoft. It was released on November 21, 2003 and is a reboot of the landmark video game series Prince of Persia, created by Jordan Mechner in 1989.
             

              The Sands of Time, developed internally at Ubisoft Montreal, successfully captures the mechanics of the original platformer and extends it to the 3D generation. An earlier attempt by The Learning Company to transfer the game to 3D (Prince of Persia 3D) was released in 1999, but despite its initial good reception failed to sell enough and the company responsible for the original trilogy was already closing doors. The game was praised for its visual design, finely tuned game mechanics and intriguing storyline, winning the game several awards.
             

              The game was developed for the PC, PlayStation 2, GameCube, Xbox, and later a 2D-version for the Game Boy Advance and mobile phones. The success of The Sands of Time led to three followups, Prince of Persia: Warrior Within (2004), Prince of Persia: The Two Thrones (2005), and Prince of Persia: The Forgotten Sands (2010). A remastered, high-definition, version of The Sands of Time was released on the PlayStation Network for the PlayStation 3 on November 16, 2010.",Adventure, Platform,480,480,5500,1100,421
Assassin's Creed Syndicate,2015-10-23,"Ubisoft Entertainment, Ubisoft Québec",3.0,"London, 1868. The Industrial Revolution unleashes an incredible age of invention, transforming the lives of millions with technologies once thought impossible. Opportunities created during this period have people rushing to London to engage in this new world, a world no longer controlled by kings, emperors, politicians, or religion, but by a new common denominator: money.
             

              Not everyone is able to enjoy the benefits of this boom, however. Despite fueling the engine of the British Empire, workers’ lives are little more than legalized slavery while the top few percent profit from their labor. Living poor and dying young, the lower class unite in protest as a new kind of family, gangs, who turn to a life in the underworld in their struggle to survive. A struggle, until watchful Assassins come to their side and re-ignite an age-old conflict involving London’s leaders that will echo throughout modern history, from the underground up.
             

              Introducing Jacob Frye, who with the help of his twin sister Evie, will change the fate of millions in Assassin’s Creed Syndicate. Rise to rally and lead the underworld to break the corrupt stranglehold on London in a visceral adventure filled with action, intrigue, and brutal combat.",Adventure,,562,562,5600,1500,417
Sunset Overdrive,2014-10-28,"Insomniac Games, Microsoft Studios",3.5,"The city’s overrun with mutants. Problem? Not for you. Sunset Overdrive is an open-world playground of post-apocalyptic possibilities. Vault, grind & wall-run while using a deadly & unconventional arsenal. With hyper-agility, unique weapons, & customizable abilities, it rewrites the rules of shooters while delivering an irreverent adventure.",Adventure, Platform,445,445,3600,1200,459
Metal Gear Solid: Peace Walker,2010-04-29,"Kojima Productions, Konami",3.5,"Metal Gear Solid: Peace Walker is an action-adventure stealth video game and is the third action-based Metal Gear title made specifically for the PSP. The gameplay consists of two primary modes: Mission and Mother Base. Mission are the actual action sequences of the game where the player must infiltrate an enemy territory or fight a boss, whereas Mother Base is an army management. Some changes have been made to the standard Metal Gear formula: the player is now unable to move or shoot while laying down and while pinned to a wall, making Peace Walker the first game since Metal Gear to lack any crawling ability.",Shooter, Strategy,498,498,4000,1300,566
Code Vein,2019-09-26,"Shift, Bandai Namco Entertainment",3.0,Code Vein is set in the not too distant future where a disaster has brought the world to ruin and vampire-like beings battle for dominance.,Adventure, RPG,325,325,3300,1600,625
